Structure: Image,SMILES,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1
,F[H].C1=CC=NC=C1,4750151.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4750151&database=RX&origin=ReaxysOutput&ln=,(2969 of 4000),32001-55-1,pyridine hydrogenfluoride; pyridine hydrofluoride; HF*pyridine; hydrogen fluoride-pyridine; pyridinium hydrofluoride; pyridinium fluoride; hydrogen fluoride pyridine complex; Olah’s reagent; HF·pyridine; Olah's reagent; HF*Pyr; pyridinium poly(hydrogen fluoride); pyridine hydrofluoride complex; pyidine hydrofluoride; pyridine-HF; HF*Py; HF·py; olah reagent,C5H5NH(1+)*F(1-)=C5H5NHF,C5H6N*F,99.1077,heterocyclic,,GRJJQCWNZGRKAU-UHFFFAOYSA-N,,,,Identification(85); Physical Data(8); Spectra(2),92.0,207.0,-31,,,Decomposition,,,"Article; Boenigk, Dagmar; Mootz, Dietrich; Journal of the American Chemical Society; vol. 110; 7; (1988); p. 2135 - 2139;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5767875&database=RX&origin=ReaxysOutput&ln=
,NCC1=CN=[14CH]N1,878852.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D878852&database=RX&origin=ReaxysOutput&ln=,(2970 of 4000),,4(5)-Aminomethyl-(imidazol-2-14C); 4(5)-Aminomethylimidazol-<2-14C>; C-(1(3)H-[2-14C]imidazol-4-yl)-methylamine,C3(14)CH7N3,C4H7N3,99.1087,heterocyclic,,MPCYZPCWSYUWMJ-YZRHJBSPSA-N,,,,Identification(10); Physical Data(1); Spectra(1),1.0,2.0,246 - 247,,,,,,"Article; Rosenberg; Paul; Journal of Pharmaceutical Sciences; vol. 62; (1973); p. 403,404;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2725361&database=RX&origin=ReaxysOutput&ln=
,[K+].[34S-]C#N,6157777.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D6157777&database=RX&origin=ReaxysOutput&ln=,(2971 of 4000),1043912-17-9,(34S)-potassium thiocyanate,CN(34)S(1-)*K(1+),CNS*K,99.116,acyclic,,ZNNZYHKDIALBAK-REVVOINZSA-M,,,,Identification(6); Physical Data(3); Spectra(3),9.0,5.0,136 - 138,,supporting information,,,,"Article; Dyke, Alan M.; Gill, Duncan M.; Harvey, Jeremy N.; Hester, Alison J.; Lloyd-Jones, Guy C.; Munoz, M. Paz; Shepperson, Ian R.; Angewandte Chemie - International Edition; vol. 47; 27; (2008); p. 5067 - 5070;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8698173&database=RX&origin=ReaxysOutput&ln=
,CC1CCC(=O)N1,1640.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1640&database=RX&origin=ReaxysOutput&ln=,(2972 of 4000),108-27-0,5-methylpyrrolidin-2-one,C5H9NO,C5H9NO,99.1326,heterocyclic,,YVIVRJLWYJGJTJ-UHFFFAOYSA-N,,,,Identification(78); Physical Data(36); Spectra(48); Bioactivity(12),392.0,221.0,41 - 43,,,,,,"Article; Nagasaka, Tatsuo; Kato, Hiroki; Hayashi, Hideki; Shioda, Masako; Hikasa, Hiromi; Hamaguchi, Fumiko; Heterocycles; vol. 30; 1; (1990); p. 561 - 566;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5500907&database=RX&origin=ReaxysOutput&ln=
,CC1CCNC1=O,106328.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D106328&database=RX&origin=ReaxysOutput&ln=,(2973 of 4000),2555-05-7,3-methyl-2-pyrrolidinone; 3-Methylpyrrolidin-2-one; 3-methyl-2-pyrrolidone; (racemic) 3-methylpyrrolidin-2-one,CH3CHC(O)NHCH2CH2,C5H9NO,99.1326,heterocyclic,,AOCWQPKHSMJWPL-UHFFFAOYSA-N,,,,Identification(38); Physical Data(21); Spectra(19); Bioactivity(8),142.0,105.0,56 - 57,,,,,,"Article; Khoukhi, N.; Vaultier, M.; Carrie, R.; Tetrahedron; vol. 43; 8; (1987); p. 1811 - 1822;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5603466&database=RX&origin=ReaxysOutput&ln=
,CC1CNC(=O)C1,106331.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D106331&database=RX&origin=ReaxysOutput&ln=,(2974 of 4000),2996-58-9,4-methyl-2-pyrrolidinone; 4-methylpyrrolidin-2-one,C5H9NO,C5H9NO,99.1326,heterocyclic,,YRKRGYRYEQYTOH-UHFFFAOYSA-N,,,,Identification(29); Physical Data(21); Spectra(11),125.0,60.0,54 - 55,,supporting information,with decomposition,,,"Article; Connon, Stephen J.; Craig, Ryan; Smith, Simon N.; Chemistry - A European Journal; vol. 26; 59; (2020); p. 13378 - 13382;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D81014385&database=RX&origin=ReaxysOutput&ln=
,CN1CCCC1=O,106420.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D106420&database=RX&origin=ReaxysOutput&ln=,(2975 of 4000),872-50-4,1-methyl-pyrrolidin-2-one; N-Methyl-2-pyrrolidone; N-methyl-2-pyrrolidon,OC4H6NCH3,C5H9NO,99.1326,heterocyclic,,SECXISVLQFMRJM-UHFFFAOYSA-N,,,,Identification(2021); Physical Data(1524); Spectra(207); Bioactivity(298),2338.0,3817.0,-24.86,,,,,,"Article; Cobos Huerga, Ana; González, Juan Antonio; Hofman, Tadeusz; Królikowski, Marek; Sikorski, Patryk; Journal of Molecular Liquids; vol. 318; (2020);",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D80910361&database=RX&origin=ReaxysOutput&ln=
,O=C1CCCCN1,106434.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D106434&database=RX&origin=ReaxysOutput&ln=,(2976 of 4000),675-20-7,piperidin-2-one; 2-Piperidone; 2-piperidinone; δ-Valerolactam; valerolactam; 6-valerolactam; γ-valerolactam; 2-Azacyclohexanone; piperidine-2-one; piperidinone; piperidone; δ-valerolactame; δ-valerolactone; δ-lactam; piperid-2-one,HNCH2CH2CH2CH2CO,C5H9NO,99.1326,heterocyclic,,XUWHAWMETYGRKB-UHFFFAOYSA-N,,,,Identification(998); Physical Data(181); Spectra(127); Bioactivity(118),4050.0,2182.0,257 - 259,,,,,,"Article; Kalkhambkar, Rajesh G.; Savanur, Hemantkumar M.; RSC Advances; vol. 5; 74; (2015); p. 60106 - 60113;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D66631662&database=RX&origin=ReaxysOutput&ln=
,O=C1CCNCC1,106465.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D106465&database=RX&origin=ReaxysOutput&ln=,(2977 of 4000),41661-47-6,piperidin-4-one; 4-piperidone; 4-piperidinone; 4-oxo-piperidine; piperid-4-one; piperidine-4-one,C5H9NO,C5H9NO,99.1326,heterocyclic,,VRJHQPZVIGNGMX-UHFFFAOYSA-N,,,,Identification(274); Physical Data(15); Spectra(10),1497.0,630.0,79,,,,,,Article; Hemalatha; Ilangeswaran; Asian Journal of Chemistry; vol. 32; 4; (2020); p. 981 - 984;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D79370175&database=RX&origin=ReaxysOutput&ln=
,CC1(C)CNC1=O,106484.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D106484&database=RX&origin=ReaxysOutput&ln=,(2978 of 4000),7486-91-1,"3,3-dimethyl-2-azetidinone",C5H9NO,C5H9NO,99.1326,heterocyclic,,DCAKVVTXKWWUGN-UHFFFAOYSA-N,,,,Identification(16); Physical Data(7); Spectra(6),33.0,23.0,28,,,,,,Article; Eisenbach; Lenz; Macromolecules; vol. 9; (1976); p. 227;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3466574&database=RX&origin=ReaxysOutput&ln=
,O=N1=CCCCC1,107114.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D107114&database=RX&origin=ReaxysOutput&ln=,(2979 of 4000),34418-91-2,"2,3,4,5-tetrahydropyridine N-oxide; 3,4,5,6-tetrahydropyridine N-oxide; 2,3,4,5-tetrahydropyridine 1-oxide",ONCH(CH2)4,C5H9NO,99.1326,heterocyclic,,KHUGGXKSRHFUAW-UHFFFAOYSA-N,,,,Identification(41); Physical Data(3); Spectra(16),595.0,149.0,110 - 113,petroleum ether,,Decomposition,,,"Article; Murahashi, Shun-Ichi; Mitsui, Hitoshi; Watanabe, Tomonari; Zenki, Sei-ichi; Tetrahedron Letters; vol. 24; 10; (1983); p. 1049 - 1052;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5547166&database=RX&origin=ReaxysOutput&ln=
,CCC(=CN)C=O,635825.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D635825&database=RX&origin=ReaxysOutput&ln=,(2980 of 4000),30989-82-3,3-Amino-2-ethyl-acrolein,C5H9NO,C5H9NO,99.1326,acyclic,,IWAPFSLIJDJZND-UHFFFAOYSA-N,,,,Identification(7); Physical Data(2); Spectra(1),3.0,2.0,106 - 107,ethyl acetate,,,,,"Article; Breitmaier,E.; Gassenmann,S.; Chemische Berichte; vol. 104; (1971); p. 665 - 667;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D40819&database=RX&origin=ReaxysOutput&ln=
,CCCCN=C=O,773917.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D773917&database=RX&origin=ReaxysOutput&ln=,(2981 of 4000),111-36-4,n-butyl isocyanide; butyl isocyanate,CH3(CH2)3NCO,C5H9NO,99.1326,acyclic,,HNHVTXYLRVGMHD-UHFFFAOYSA-N,,,,Identification(261); Physical Data(50); Spectra(21); Bioactivity(90),2552.0,1592.0,95,,,,,,"Article; Ito et al.; Tetrahedron Letters; (1979); p. 1039,1040;; ; Article; Chen; Nielsen; Hedberg; Dunaiskis; Jones; Russo; Johnson; Ives; Liston; Journal of Medicinal Chemistry; vol. 35; 8; (1992); p. 1429 - 1434;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2850759&database=RX&origin=ReaxysOutput&ln=
,CC(C)(C)C#N=O,906808.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D906808&database=RX&origin=ReaxysOutput&ln=,(2982 of 4000),27143-81-3,tert-butyl nitrile oxide,(CH3)3CCNO,C5H9NO,99.1326,acyclic,,XAKAHZSZHVQMMA-UHFFFAOYSA-N,,,,Identification(14); Physical Data(3); Spectra(10),107.0,40.0,18,,,,,,"Article; Zinner,G.; Guenther,H.; Angewandte Chemie; vol. 76; (1964); p. 440;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D100018&database=RX&origin=ReaxysOutput&ln=
,CN(C)C=CC=O,969389.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D969389&database=RX&origin=ReaxysOutput&ln=,(2983 of 4000),927-63-9,"3-dimethylaminoacrolein; 3-(dimethylamino)acrylaldehyde; 3-dimethylaminopropenal; 3-(N,N-dimethylamino)acrolein",(CH3)2NCHCHCHO,C5H9NO,99.1326,acyclic,,RRLMPLDPCKRASL-UHFFFAOYSA-N,,,,Identification(39); Physical Data(30); Spectra(37),304.0,207.0,-2,,,,,,"Article; Arnold; Sorm; Collection of Czechoslovak Chemical Communications; vol. 23; (1958); p. 452,455;; ; Article; Zuman; Horak; Collection of Czechoslovak Chemical Communications; vol. 26; (1961); p. 176,177,181,182;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1650802&database=RX&origin=ReaxysOutput&ln=
,CC(N)=CC(C)=O,1209344.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1209344&database=RX&origin=ReaxysOutput&ln=,(2984 of 4000),1118-66-7,4-amino-3-penten-2-one; 4-aminopent-3-en-2-one,CH3C(NH2)CHCOCH3,C5H9NO,99.1326,acyclic,,OSLAYKKXCYSJSF-UHFFFAOYSA-N,,,,Identification(57); Physical Data(27); Spectra(33),548.0,213.0,36 - 37,,supporting information,,,,"Article; Chizhova, Maria E.; Bakulina, Olga Yu.; Ivanov, Alexander Yu.; Lobanov, Pavel S.; Dar'in, Dmitrii V.; Tetrahedron; vol. 71; 36; (2015); p. 6196 - 6203;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D66691759&database=RX&origin=ReaxysOutput&ln=
,CC1(C)CC(=O)N1,1523877.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1523877&database=RX&origin=ReaxysOutput&ln=,(2985 of 4000),4879-95-2,"4,4-dimethyl-azetidin-2-one; 4,4-Dimethyl-azetidin-2-on; 4,4-Dimethyl-azetidinon-(2)",C5H9NO,C5H9NO,99.1326,heterocyclic,,IGWGXZKGWFYOHE-UHFFFAOYSA-N,,,,Identification(24); Physical Data(16); Spectra(4),40.0,40.0,16 - 17,,,,,,"Article; Graf,R.; Justus Liebigs Annalen der Chemie; vol. 661; (1963); p. 111 - 157;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D77433&database=RX&origin=ReaxysOutput&ln=
,C[C@@H]1NC(=O)[C@@H]1C,1524135.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1524135&database=RX&origin=ReaxysOutput&ln=,(2986 of 4000),27063-08-7,"cis-3,4-Dimethyl-azetidinon-(2)",C5H9NO,C5H9NO,99.1326,heterocyclic,,HUCDNALJLARZTQ-DMTCNVIQSA-N,,,,Identification(8); Physical Data(5); Spectra(3),9.0,5.0,-6.9,,,,,,Article; Bestian et al.; Justus Liebigs Annalen der Chemie; vol. 718; (1968); p. 94;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3456013&database=RX&origin=ReaxysOutput&ln=
,C[C@@H]1NC(=O)[C@H]1C,1524137.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1524137&database=RX&origin=ReaxysOutput&ln=,(2987 of 4000),4946-33-2; 4946-34-3; 6789-97-5; 27063-08-7; 27063-10-1; 28105-00-2; 39155-92-5; 45436-28-0; 45436-30-4,"trans-3,4-Dimethyl-azetidinon-(2)",C5H9NO,C5H9NO,99.1326,heterocyclic,,HUCDNALJLARZTQ-IMJSIDKUSA-N,,,,Identification(9); Physical Data(5); Spectra(2),2.0,4.0,23.2,,,,,,Article; Bestian et al.; Justus Liebigs Annalen der Chemie; vol. 718; (1968); p. 94;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3456013&database=RX&origin=ReaxysOutput&ln=
,CC\C=C\C=NO,1698876.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1698876&database=RX&origin=ReaxysOutput&ln=,(2988 of 4000),,pent-2t-enal oxime; Pent-2t-enal-oxim,C5H9NO,C5H9NO,99.1326,acyclic,,VRIMPBIAGNQGBF-WAVJCGAHSA-N,,,,Identification(5); Physical Data(1),1.0,1.0,78,,,,,,"Article; Gouge; Annales de Chimie (Cachan, France); vol. &lt;12&gt; 6; (1951); p. 648,682;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D565325&database=RX&origin=ReaxysOutput&ln=
,CC=CCC=NO,1699232.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1699232&database=RX&origin=ReaxysOutput&ln=,(2989 of 4000),73737-57-2,pent-3-enal oxime; Pent-3-enal-oxim,C5H9NO,C5H9NO,99.1326,acyclic,,PEMHUQRQJCMSMU-UHFFFAOYSA-N,,,,Identification(5); Physical Data(1),1.0,1.0,62,,,,,,"Article; Gouge; Annales de Chimie (Cachan, France); vol. &lt;12&gt; 6; (1951); p. 648,682;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D565325&database=RX&origin=ReaxysOutput&ln=
,CC(=O)C(C)=CN,1699580.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1699580&database=RX&origin=ReaxysOutput&ln=,(2990 of 4000),50421-85-7,1-Amino-2-methylbuten-1-on-3; 4-Amino-2-oxo-3-methylbuten-3; 4-amino-3-methyl-but-3-en-2-one; 4-Amino-3-methyl-but-3-en-2-on,C5H9NO,C5H9NO,99.1326,acyclic,,ZFZLYDFIEGUSMZ-UHFFFAOYSA-N,,,,Identification(7); Physical Data(2); Spectra(1),2.0,3.0,112,benzene,,,,,Article; Benary; Chemische Berichte; vol. 63; (1930); p. 1574;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1240487&database=RX&origin=ReaxysOutput&ln=
,CNC(=O)\C=C\C,1699643.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1699643&database=RX&origin=ReaxysOutput&ln=,(2991 of 4000),1189-03-3,crotonyl methanamine; (E)-but-2-enoic acid methylamide; N-methyl-trans-crotonamide; trans-Crotonsaeure-methylamid; N-Methyl-trans-crotonamid,CH3CHCHCONHCH3,C5H9NO,99.1326,acyclic,,XYLJOGVVSQGQIY-ONEGZZNKSA-N,,,,Identification(14); Physical Data(2); Spectra(2),8.0,11.0,67 - 69,,,,,,Patent; KONINKLIJKE PHARMA FAB; US2855436; (1955); A;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D766408&database=RX&origin=ReaxysOutput&ln=
,C\C(N)=C\C(C)=O,1699705.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1699705&database=RX&origin=ReaxysOutput&ln=,(2992 of 4000),1118-66-7,4-Aminopent-3-en-2-one; 4-Amino-3-penten-2-one,C5H9NO,C5H9NO,99.1326,acyclic,,OSLAYKKXCYSJSF-ARJAWSKDSA-N,,,,Identification(70); Physical Data(23); Spectra(45),344.0,166.0,31,,,,,,"Article; Tronnier, Alexander; Poethig, Alexander; Herdtweck, Eberhardt; Strassner, Thomas; Organometallics; vol. 33; 4; (2014); p. 898 - 908;; ; Article; Ngake, Tankiso Lawrence; Potgieter, Johannes Hermanus; Conradie, Jeanet; Electrochimica Acta; vol. 296; (2019); p. 1070 - 1082;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D62856339&database=RX&origin=ReaxysOutput&ln=
,C\C=C\CC(N)=O,1700300.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1700300&database=RX&origin=ReaxysOutput&ln=,(2993 of 4000),133099-99-7,(E)-pent-3-enamide; trans-3-pentenamide,C5H9NO,C5H9NO,99.1326,acyclic,,LARRNBYMHFLZKK-NSCUHMNNSA-N,,,,Identification(12); Physical Data(9); Spectra(10),30.0,21.0,69 - 70,,supporting information,,,,"Article; Molander, Gary A.; Barcellos, Thiago; Traister, Kaitlin M.; Organic Letters; vol. 15; 13; (2013); p. 3342 - 3345;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D35526897&database=RX&origin=ReaxysOutput&ln=
,CC(=N)CC(C)=O,1700312.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1700312&database=RX&origin=ReaxysOutput&ln=,(2994 of 4000),870-74-6,2-imino-4-pentanone; Acetylaceton-monoimin,CH3C(O)CH2C(NH)CH3,C5H9NO,99.1326,acyclic,,QISKERKMOGSCJB-UHFFFAOYSA-N,,,,Identification(16); Physical Data(8); Spectra(10),53.0,45.0,43 - 44,,,,,,"Article; Dorovskikh; Piryazev; Stabnikov; Morozova; Journal of Structural Chemistry; vol. 60; 7; (2019); p. 1052 - 1061; Zh. Strukt. Kim.; vol. 60; 7; (2019); p. 1100 - 1109,10;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D77451202&database=RX&origin=ReaxysOutput&ln=
,CC(=C)C(C)=NO,1720295.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1720295&database=RX&origin=ReaxysOutput&ln=,(2995 of 4000),20963-51-3; 28051-69-6; 39847-77-3,3-methylbut-3-en-2-one oxime; 3-methyl-3-buten-2-one oxime; 3-Methyl-but-3-en-2-on-oxim,C5H9NO,C5H9NO,99.1326,acyclic,,PTERMXAGTLNYIU-UHFFFAOYSA-N,,,,Identification(6); Physical Data(11); Spectra(2),53.0,16.0,41 - 43,,,,,,"Article; Tashchi, V. P.; Rukasov, T. I.; Orlova, Yu. G.; Putsykin, Yu. A.; Baskakov, Yu. A.; Chemistry of Heterocyclic Compounds; vol. 18; 6; (1982); p. 566 - 568; Khimiya Geterotsiklicheskikh Soedinenii; vol. 18; 6; (1982); p. 751 - 753;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5564076&database=RX&origin=ReaxysOutput&ln=
,C\C=C(\C)C(N)=O,1720299.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1720299&database=RX&origin=ReaxysOutput&ln=,(2996 of 4000),5953-75-3,Angelicasaeureamid,C5H9NO,C5H9NO,99.1326,acyclic,,KFTHUBZIEMOORC-ARJAWSKDSA-N,,,,Identification(9); Physical Data(12); Spectra(6),39.0,20.0,164.5 - 166.5,acetone; hexane,,,,,"Article; Nagaya, Akihiro; Yamagishi, Yoji; Yonezawa, Yasuchika; Akai, Shoji; Shin, Chung-Gi; Sato, Ken-Ichi; Heterocycles; vol. 85; 2; (2012); p. 313 - 331;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D20093275&database=RX&origin=ReaxysOutput&ln=
,C\C=C(/C)C(N)=O,1720300.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1720300&database=RX&origin=ReaxysOutput&ln=,(2997 of 4000),6028-38-2,"(E)-2-methyl-2-butenamide; Tiglinsaeureamid; tiglic amide; (2E)-2-methylbut-2-enamide; Tiglamid; α,β-Dimethylacrylamide; 2-methyl-trans-crotonic acid amide; (E)-2-methylbut-2-enamide; bismethylacrylamide; dimethyl-acrylamide; tiglic acid amide; 2-Methyl-trans-crotonsaeure-amid; 2-Methyl-trans-crotonamid",C5H9NO,C5H9NO,99.1326,acyclic,,KFTHUBZIEMOORC-ONEGZZNKSA-N,,,,Identification(166); Physical Data(16); Spectra(15); Bioactivity(10),36.0,185.0,126.5 - 127.5,acetone; hexane,,,,,"Article; Nagaya, Akihiro; Yamagishi, Yoji; Yonezawa, Yasuchika; Akai, Shoji; Shin, Chung-Gi; Sato, Ken-Ichi; Heterocycles; vol. 85; 2; (2012); p. 313 - 331;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D20093275&database=RX&origin=ReaxysOutput&ln=
,CCC=CC(N)=O,1720307.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1720307&database=RX&origin=ReaxysOutput&ln=,(2998 of 4000),15856-96-9,pent-2-enamide; Pent-2-enamid; 2-penteneamide; ethyl 2-propenamide,C5H9NO,C5H9NO,99.1326,acyclic,,MZDYAVCNKNXCIS-UHFFFAOYSA-N,,,,Identification(8); Physical Data(3),13.0,10.0,148,benzene,,amide of/the/ higher-boiling pent-2-enoic acid,,,Article; Rinkes; Recueil des Travaux Chimiques des Pays-Bas; vol. 48; (1929); p. 961;; ; Article; v.Auwers; Justus Liebigs Annalen der Chemie; vol. 432; (1923); p. 65;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1017504&database=RX&origin=ReaxysOutput&ln=
,CC\C=C/C(N)=O,1720308.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1720308&database=RX&origin=ReaxysOutput&ln=,(2999 of 4000),15856-96-9,(Z)-pent-2-enamide; cis-pent-2-enamide; cis-Pent-2-enamid,C5H9NO,C5H9NO,99.1326,acyclic,,MZDYAVCNKNXCIS-ARJAWSKDSA-N,,,,Identification(10); Physical Data(23); Spectra(6),7.0,18.0,68.4 - 69,benzene,,,,,Article; Vandewyer; Bulletin des Societes Chimiques Belges; vol. 44; (1935); p. 382;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1160743&database=RX&origin=ReaxysOutput&ln=
,CC\C=C\C(N)=O,1720309.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1720309&database=RX&origin=ReaxysOutput&ln=,(3000 of 4000),15856-96-9,(E)-pent-2-enoylamide; pent-2t-enamide; Pent-2t-enamid; trans-Pent-2-enamid; (E)-pent-2-enamide; ethyl 2-propenamide,C5H9NO,C5H9NO,99.1326,acyclic,,MZDYAVCNKNXCIS-ONEGZZNKSA-N,,,,Identification(11); Physical Data(17),12.0,19.0,152.5 - 154,,,nach Sublimation.,,,Article; Sargent; Journal of Organic Chemistry; vol. 21; (1956); p. 827;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1189308&database=RX&origin=ReaxysOutput&ln=
,CC(C)(O)CC#N,1738209.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1738209&database=RX&origin=ReaxysOutput&ln=,(3001 of 4000),13635-04-6,"3-hydroxy-3-methylbutyronitrile; 3-hydroxy-3-methylbutanenitrile; 2-cyano-1,1-dimethylethanol",C5H9NO,C5H9NO,99.1326,acyclic,,CWPMDJFBWQJRGT-UHFFFAOYSA-N,,,,Identification(18); Physical Data(14); Spectra(11),104.0,44.0,-12,,,,,,Article; Lemaire; Recueil des Travaux Chimiques des Pays-Bas; vol. 29; (1910); p. 59; Chemisches Zentralblatt; vol. 80; I; (1909); p. 1982;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1295942&database=RX&origin=ReaxysOutput&ln=
